Dados Acustico - Tempo X Frequência e Tempo X Amplitude UHE Tucurui:UGH-05:Trafo Acústico 1:Acústico 1 P1 UGH-05 - T FE (ppm)

Tempo (s);Frequencia (Hz);Amplitude (dBae)
0,000473;25,5612358301845;39,2092624231778
0,003217;8,65519852861625;34,5134423077612
0,006435;19,043588658485;40,4724355752431
0,008831;13,8155221454693;36,7936779079507
0,014753;16,1063015904973;37,45317728678
0,017519;15,8959537572254;37,7676234410855
0,023095;14,6750524109015;38,3688964874946
0,025537;17,7890129438476;33,1489259082862
0,031783;39,2156862745098;45,1557404488113
0,033724;13,9252358886941;33,6242996985988
0,039753;12,5601842160352;39,7334128869696
0,042515;17,2569220862846;38,6567660502478
0,048443;46,0122699386503;42,8000897927344
0,050826;30,1152487403718;33,6242996985988
0,056413;16,9133192389006;37,45317728678
0,058959;11,5358819584172;35,3313742197426
0,064727;17,9928028788485;35,717031071229
0,067091;13,8742905192348;34,9305897656537
0,073067;27,1285475792988;37,45317728678
0,075361;19,234131841231;40,2319846297916
0,080364;3333,33333333333;33,6242996985988
0,083464;19,1024113985212;34,0785386443726
0,089722;24,9739854318418;37,45317728678
0,092485;17,8150854520201;38,0726817273059
0,098045;21,4091086025691;34,5134423077612
0,100376;13,1728639003652;37,45317728678
0,103962;31,1284046692607;44,3753083722783
0,106378;22,8975853455454;38,6567660502478
0,109089;17,3816310922617;39,9857391314819
0,112329;41,8410041841004;38,0726817273059
0,1147;14,1015310233683;36,7936779079507
0,117477;10,9928257347836;34,5134423077612
0,123031;20,5338809034908;39,9857391314819
0,125768;29,2764533667921;39,4746979622293
0,131357;3,4447123665174;36,4472483356988
0,135202;19,3308550185874;38,0726817273059
0,139689;18,6412593206297;41,1615973658781
0,14205;10,4960034448422;36,7936779079507
0,148014;14,1072148327287;33,1489259082862
0,150531;20,2815838501993;35,3313742197426
0,156705;10,2914865656518;44,8506821625909
0,165013;25,3100480890914;44,5362360082854
0,167213;11,7876178761788;36,4472483356988
0,171393;10000;33,1489259082862
0,173362;46,5116279069767;45,0043496251546
0,175375;27,5843951136214;38,0726817273059
0,178701;24,981264051961;34,0785386443726
0,181211;10,4626830969542;36,4472483356988
0,183885;18,9493105941606;33,1489259082862
0,1898;25,9216589861751;36,7936779079507
0,19243;27,7836499260109;39,2092624231778
0,197987;14,2394822006473;34,9305897656537
0,200766;22,2506705681541;34,5134423077612
0,206323;13,9888089528377;37,45317728678
0,209083;19,9880668257757;40,9370016504374
0,214648;15,9489633173844;34,5134423077612
0,217423;20,5200281096275;39,7334128869696
0,222984;14,4389438943894;34,5134423077612
0,225744;16,2985901719501;38,6567660502478
0,231306;7,58437618505878;35,3313742197426
0,234222;6,31113916061849;34,5134423077612
0,239641;13,4228187919463;39,2092624231778
0,242407;11,3231963765772;37,1287470635886
0,246606;5000;34,0785386443726
0,24846;229,885057471264;41,1615973658781
0,250324;25,0869952253783;38,9367477749468
0,25353;17,2224831689369;39,9857391314819
0,256301;26,7324696689286;36,4472483356988
0,2586;14,1542816702052;37,45317728678
0,261853;13,1332082551595;36,4472483356988
0,264628;11,9308013521575;34,5134423077612
0,267395;25,879917184265;34,0785386443726
0,270187;15,3798831128883;39,9857391314819
0,272963;18,2149362477231;40,4724355752431
0,275723;22,5896810337038;40,2319846297916
0,280887;7,80988508311949;33,1489259082862
0,283796;14,8809523809524;33,6242996985988
0,289749;31,25;38,6567660502478
0,292093;11,0019069972129;35,3313742197426
0,298067;13,430029546065;33,1489259082862
0,30052;28,1366637955785;37,7676234410855
0,306272;20,3128173877717;38,0726817273059
0,309035;15,6709108716944;37,1287470635886
0,311437;18,1837629693015;34,9305897656537
0,314593;19,782393669634;37,1287470635886
0,317372;15,4271731035217;38,0726817273059
0,322948;17,0140365801786;38,0726817273059
0,325245;15,9235668789809;39,7334128869696
0,328862;5,91599290080852;42,2160054697925
0,333332;16,4811541585057;33,6242996985988
0,339589;16,220600162206;36,4472483356988
0,341993;30,2383493418712;38,9367477749468
0,345141;17,4520069808028;37,45317728678
0,348287;45,1807228915663;43,8767366294562
0,350687;18,3183733284484;36,088660887305
0,356247;12,7191787044608;38,9367477749468
0,359392;21,7391304347826;44,3753083722783
0,36457;15,5884645362432;36,088660887305
0,367133;24,1562564704258;38,0726817273059
0,370494;46,6200466200466;43,7049898355386
0,37292;20,8073241781107;38,9367477749468
0,375669;18,4253419318262;38,3688964874946
0,38172;96,6183574879227;41,381362689505
0,383848;25,3629752322783;33,6242996985988
0,389565;19,0331176246669;37,7676234410855
0,392327;23,1418868151354;37,7676234410855
0,397893;15,863573269879;35,3313742197426
0,400289;14,1552208435627;34,0785386443726
0,406707;6,34115409004439;36,088660887305
0,408694;16,4119396861217;37,45317728678
0,411778;20,5262175779063;37,7676234410855
0,41455;16,0096057634581;33,6242996985988
0,416856;11,9256841576701;37,7676234410855
0,420257;35,6652949245542;37,1287470635886
0,422884;16,3398692810458;36,4472483356988
0,425262;37,1203599550056;34,9305897656537
0,428438;8,46740050804403;37,1287470635886
0,431317;10,1188970402226;33,1489259082862
0,433985;14,9645736623504;33,6242996985988
0,439546;10,3412616339193;36,088660887305
0,442307;15,3637596023498;38,9367477749468
0,447867;9,95421063109695;35,717031071229
0,450472;13,4721371708512;40,9370016504374
0,453908;114,068441064639;39,4746979622293
0,456203;30,9853336087585;37,45317728678
0,458963;12,8110372012811;38,3688964874946
0,4649;39,3081761006289;43,8767366294562
0,467302;13,4144160257557;36,7936779079507
0,472861;22,7601903579557;38,3688964874946
0,475371;23,3297985153765;39,2092624231778
0,481183;11,9808306709265;34,5134423077612
0,483502;20,3257468374743;34,5134423077612
0,489518;28,0336403684421;38,0726817273059
0,492286;22,0217804458656;38,6567660502478
0,497842;13,9303482587065;36,088660887305
0,500616;21,0320968086079;35,3313742197426
0,506178;15,9936025589764;38,0726817273059
0,508937;21,2928587027735;37,7676234410855
0,514498;14,0056022408964;36,088660887305
0,516798;14,1073757619314;39,7334128869696
0,522837;8,90119671644743;39,2092624231778
0,525672;13,6286201022147;34,0785386443726
0,528388;11,4307487140408;37,1287470635886
0,531155;25,9118995415587;34,5134423077612
0,533474;13,990444262598;37,1287470635886
0,53949;14,4508670520231;37,7676234410855
0,54182;21,8388294387421;38,0726817273059
0,545044;16,8602472836268;36,7936779079507
0,547825;14,2189721714402;34,5134423077612
0,550588;21,6979402237027;35,717031071229
0,556149;17,8041543026706;39,9857391314819
0,558846;12,1443442054129;37,45317728678
0,561351;10,1328529610448;33,6242996985988
0,564469;12,0481927710843;33,1489259082862
0,567246;11,6158219722443;36,088660887305
0,572804;18,6258278145695;38,3688964874946
0,57509;12,5815837068491;38,6567660502478
0,581128;7,94833581718828;35,717031071229
0,583948;8,58369098712446;35,717031071229
0,587051;17,0454545454545;43,8767366294562
0,589463;12,4018189334436;35,717031071229
0,592225;22,3033817502579;37,45317728678
0,597784;19,7044334975369;36,4472483356988
0,60015;11,5673799884326;34,9305897656537
0,606121;27,9684719043987;38,0726817273059
0,608316;24,0715268225585;37,1287470635886
0,611666;11,0172603745869;39,9857391314819
0,614442;9,82897582071948;35,717031071229
0,616751;14,6478873239437;38,9367477749468
0,620369;8,97021887334051;43,7049898355386
0,622775;8,62281350086228;40,7073584201043
0,625539;15,7299292153185;39,2092624231778
0,6311;13,7931034482759;38,3688964874946
0,633882;7,68787238131847;36,088660887305
0,639437;22,2581950627276;40,4724355752431
0,641784;12,5473864061082;35,3313742197426
0,647376;7,83348254252462;33,6242996985988
0,650535;21,6503018844911;34,5134423077612
0,656096;10,2333196889071;36,4472483356988
0,658412;16,3636771199928;33,1489259082862
0,664798;55,379746835443;43,1717196088105
0,66719;23,1446234430673;33,6242996985988
0,672749;22,1595487510073;38,9367477749468
0,675086;20,7248379211393;38,9367477749468
0,68107;7,81402617698769;36,7936779079507
0,68349;25,3768071362658;36,4472483356988
0,686634;10,7874865156419;40,2319846297916
0,689404;19,4899732306392;37,45317728678
0,695482;97,4025974025974;37,1287470635886
0,69773;11,7716303708064;33,6242996985988
0,70009;21,4822771213749;35,3313742197426
0,703292;32,316703696223;37,45317728678
0,706063;18,1891673403395;39,4746979622293
0,70836;16,9366395969948;37,7676234410855
0,714334;5,94309486665181;36,4472483356988
0,717549;28,7710645293876;41,5965010292666
0,719951;22,2356984030726;36,088660887305
0,722721;14,2103126268778;37,7676234410855
0,72548;19,3610842207164;35,3313742197426
0,727827;5,25486074619023;34,9305897656537
0,731427;45,8365164247517;43,7049898355386
0,733487;16,2043394671793;33,1489259082862
0,739375;24,1303036396541;35,717031071229
0,7418;10,3448275862069;33,1489259082862
0,744544;11,6796846485145;34,0785386443726
0,747714;11,9952019192323;34,0785386443726
0,750474;9,59508731529457;35,3313742197426
0,753262;22,9051345676656;35,717031071229
